Year,Month,Day,Hour,Global Horizontal Radiance,Direct Normal Radiance,Wind Direction,Wind Speed
1952,1,1,1,0,0,115,5.1
1952,1,1,2,0,0,109,3.9
1952,1,1,3,0,0,115,1.6
1952,1,1,4,0,0,247,1.2
1952,1,1,5,0,0,261,3.6
1952,1,1,6,0,0,258,5.5
1952,1,1,7,0,0,270,9.3
1952,1,1,8,0,0,278,10.3
1952,1,1,9,0,0,279,11.3
1952,1,1,10,72,307,271,12.4
1952,1,1,11,141,415,272,13.4
1952,1,1,12,184,433,271,14.4
1952,1,1,13,178,343,300,15.4
1952,1,1,14,150,316,274,15.4
1952,1,1,15,115,357,269,15.4
1952,1,1,16,53,182,261,15.4
1952,1,1,17,8,0,253,15.4
1952,1,1,18,0,0,249,15.4
1952,1,1,19,0,0,290,15.4
1952,1,1,20,0,0,247,10.3
1952,1,1,21,0,0,239,9.8
1952,1,1,22,0,0,234,9.8
1952,1,1,23,0,0,225,10.1
1952,1,1,24,0,0,214,10.6
1952,1,2,1,0,0,207,11.7
1952,1,2,2,0,0,213,13.3
1952,1,2,3,0,0,221,12.6
1952,1,2,4,0,0,240,16.1
1952,1,2,5,0,0,253,14.7
1952,1,2,6,0,0,255,13.4
1952,1,2,7,0,0,220,12.3
1952,1,2,8,0,0,250,12.8
1952,1,2,9,0,0,243,13.3
1952,1,2,10,32,8,236,13.9
1952,1,2,11,49,7,237,14.4
1952,1,2,12,47,6,240,14.9
1952,1,2,13,35,5,220,15.4
1952,1,2,14,25,0,244,15.4
1952,1,2,15,15,0,247,15.4
1952,1,2,16,7,0,242,15.4
1952,1,2,17,1,0,237,15.4
1952,1,2,18,0,0,232,15.4
1952,1,2,19,0,0,230,15.4
1952,1,2,20,0,0,228,8.3
1952,1,2,21,0,0,233,10
1952,1,2,22,0,0,236,10.7
1952,1,2,23,0,0,238,11
1952,1,2,24,0,0,243,10.5
1952,1,3,1,0,0,242,9.3
1952,1,3,2,0,0,241,8.2
1952,1,3,3,0,0,235,7.5
1952,1,3,4,0,0,233,6.1
1952,1,3,5,0,0,252,4.3
1952,1,3,6,0,0,303,4
1952,1,3,7,0,0,310,4.6
1952,1,3,8,0,0,335,5.4
1952,1,3,9,0,0,330,6.2
1952,1,3,10,50,178,325,6.9
1952,1,3,11,112,261,321,7.7
1952,1,3,12,158,300,320,8.5
1952,1,3,13,180,361,330,9.3
1952,1,3,14,164,386,310,9.3
1952,1,3,15,114,338,299,9.3
1952,1,3,16,55,165,290,9.3
1952,1,3,17,10,0,280,9.3
1952,1,3,18,0,0,280,9.3
1952,1,3,19,0,0,310,9.3
1952,1,3,20,0,0,292,6.8
1952,1,3,21,0,0,297,6.9
1952,1,3,22,0,0,299,7
1952,1,3,23,0,0,299,6.8
1952,1,3,24,0,0,298,7
1952,1,4,1,0,0,297,7.1
1952,1,4,2,0,0,296,7.4
1952,1,4,3,0,0,298,7.7
1952,1,4,4,0,0,302,7.8
1952,1,4,5,0,0,303,8
