X,Y,Fish,Birds,Mammals,Fishing,Pollution,EcoIndex,STressorUnw,StressorWei,ImpactSum,ImpactAvg,Region
1,1,1,0,1,7,0.03,2,0.598833083,1.330430685,3.226735607,1.613367804,1
1,2,0,0,1,21,0.05,1,0.899295001,1.999903516,1.763829254,1.763829254,1
1,3,0,0,1,6,0.09,1,0.670657738,1.513341971,1.37169385,1.37169385,2
1,4,0,0,1,5,0.09,1,0.630395237,1.424764467,1.295195098,1.295195098,2
2,1,1,0,1,12,0.1,2,0.849554829,1.9109314,4.457010422,2.228505211,1
2,2,1,1,1,45,0.2,3,1.343595646,3.036082739,9.108248217,3.036082739,1
2,3,1,0,1,15,0.1,2,0.903788,2.030244376,4.755292865,2.377646432,2
2,4,1,0,1,16,0.15,2,1.003394449,2.268925351,5.202601993,2.601300997,2
3,1,0,1,0,30,0.6,1,1.782669916,4.128548665,3.643860676,3.643860676,3
3,2,0,1,0,17,0.4,1,1.389035676,3.203835534,2.732732333,2.732732333,3
3,3,1,1,0,30,0.5,2,1.661043296,3.832590554,7.883315762,3.941657881,3
3,4,1,1,0,25,0.5,2,1.615102543,3.731520899,7.667394226,3.833697113,3
4,1,0,1,0,21,0.5,1,1.571469811,3.635528888,3.18044998,3.18044998,3
4,4,0,1,0,12,0.7,1,1.669937216,3.907195208,3.736930937,3.736930937,3
