FID,Id,soft_slope,soft_shelf,s_t_s_bott,sst,ocean_poll,dem_non_hi,dem_dest,X,Y
0,0,0,0,1,0,0.7355900,0.9795990,0.8193150,679775.778719000050000,6434416.224840000300000
1,0,0,0,1,0,1.4054700,0.9795990,0.8193150,683775.778719000050000,6434416.224840000300000
2,0,0,0,1,0,0.6446800,1.0701900,1.0181600,735775.778719000050000,6434416.224840000300000
3,0,0,0,1,0,0.6612320,1.0701900,1.0181600,737775.778719000050000,6434416.224840000300000
4,0,0,0,1,0,0.6677290,1.0701900,1.0181600,739775.778719000050000,6434416.224840000300000
5,0,0,0,1,0,0.6522080,0.9993970,0.7960770,741775.778719000050000,6434416.224840000300000
6,0,0,0,1,0,0.6714570,1.0236700,0.8154100,755775.778719000050000,6434416.224840000300000
7,0,0,0,1,31,1.1994900,1.0236700,0.8154100,757775.778719000050000,6434416.224840000300000
8,0,0,0,1,29,1.2500600,1.0236700,0.8154100,759775.778719000050000,6434416.224840000300000
9,0,0,0,1,27,1.3029900,1.0236700,0.8154100,761775.778719000050000,6434416.224840000300000
10,0,0,0,1,27,1.3231300,1.0236700,0.8154100,763775.778719000050000,6434416.224840000300000
11,0,0,0,1,27,1.2975700,0.9220210,0.7344420,765775.778719000050000,6434416.224840000300000
12,0,0,0,1,27,1.2717700,0.9220210,0.7344420,767775.778719000050000,6434416.224840000300000
13,0,0,0,1,26,1.2244999,0.9220210,0.7344420,769775.778719000050000,6434416.224840000300000
14,0,0,0,1,25,1.1375400,0.9220210,0.7344420,771775.778719000050000,6434416.224840000300000
15,0,0,0,1,23,1.0425900,0.9220210,0.7344420,773775.778719000050000,6434416.224840000300000
16,0,0,0,1,24,0.9892490,0.9220210,0.7344420,775775.778719000050000,6434416.224840000300000
17,0,0,0,1,26,0.9521440,0.9417150,0.8396880,777775.778719000050000,6434416.224840000300000
18,0,0,0,1,27,0.9193040,0.9417150,0.8396880,779775.778719000050000,6434416.224840000300000
19,0,0,0,1,29,0.9267720,0.9417150,0.8396880,781775.778719000050000,6434416.224840000300000
20,0,0,0,1,30,0.9395790,0.9417150,0.8396880,783775.778719000050000,6434416.224840000300000
21,0,0,0,1,12,1.2796100,0.5314280,0.0648889,857775.778719000050000,6434416.224840000300000
22,0,0,0,1,12,1.2860600,0.5314280,0.0648889,859775.778719000050000,6434416.224840000300000
23,0,0,0,1,13,1.2790900,0.5314280,0.0648889,861775.778719000050000,6434416.224840000300000
24,0,0,0,1,17,1.2742000,0.5314280,0.0648889,863775.778719000050000,6434416.224840000300000
25,0,0,0,1,22,1.2693599,0.6539930,0.0798544,865775.778719000050000,6434416.224840000300000
26,0,0,0,1,25,1.2585100,0.6539930,0.0798544,867775.778719000050000,6434416.224840000300000
27,0,0,0,1,29,1.2441400,0.6539930,0.0798544,869775.778719000050000,6434416.224840000300000
28,0,0,0,1,30,1.2263300,0.6539930,0.0798544,871775.778719000050000,6434416.224840000300000
29,0,0,0,1,29,1.2132500,0.6539930,0.0798544,873775.778719000050000,6434416.224840000300000
30,0,0,0,1,28,1.1972200,0.6539930,0.0798544,875775.778719000050000,6434416.224840000300000
31,0,0,0,1,26,1.1809700,1.6229500,0.0645655,877775.778719000050000,6434416.224840000300000
32,0,0,0,1,24,1.1760300,1.6229500,0.0645655,879775.778719000050000,6434416.224840000300000
33,0,0,0,1,22,1.1647700,1.6229500,0.0645655,881775.778719000050000,6434416.224840000300000
34,0,0,0,1,20,1.1562600,1.6229500,0.0645655,883775.778719000050000,6434416.224840000300000
35,0,0,0,1,17,1.2579700,1.6229500,0.0645655,885775.778719000050000,6434416.224840000300000
36,0,0,0,1,17,1.3073200,1.6229500,0.0645655,887775.778719000050000,6434416.224840000300000
37,0,0,0,1,19,1.3496200,1.6985600,0.0675734,889775.778719000050000,6434416.224840000300000
38,0,0,0,1,20,1.3502600,1.6985600,0.0675734,891775.778719000050000,6434416.224840000300000
39,0,0,0,1,21,1.3863100,1.6985600,0.0675734,893775.778719000050000,6434416.224840000300000
40,0,0,0,1,22,1.3851500,1.6985600,0.0675734,895775.778719000050000,6434416.224840000300000
41,0,0,0,1,26,1.3641800,1.6985600,0.0675734,897775.778719000050000,6434416.224840000300000
42,0,0,0,1,33,1.2898200,1.6985600,0.0675734,899775.778719000050000,6434416.224840000300000
43,0,0,0,1,40,1.2781200,1.6976000,0.0675349,901775.778719000050000,6434416.224840000300000
44,0,0,0,1,47,1.2765599,1.6976000,0.0675349,903775.778719000050000,6434416.224840000300000
45,0,0,0,1,46,1.2692300,1.6976000,0.0675349,905775.778719000050000,6434416.224840000300000
46,0,0,0,1,45,1.2439500,1.6976000,0.0675349,907775.778719000050000,6434416.224840000300000
47,0,0,0,1,0,1.3469100,0.7713000,0.6450980,673775.778719000050000,6436416.224840000300000
48,0,0,0,1,0,1.3963500,0.7713000,0.6450980,675775.778719000050000,6436416.224840000300000
49,0,0,0,1,0,1.4300600,0.7713000,0.6450980,677775.778719000050000,6436416.224840000300000
50,0,0,0,1,0,1.4574400,0.9795990,0.8193150,679775.778719000050000,6436416.224840000300000
51,0,0,0,1,0,0.6661580,1.0701900,1.0181600,737775.778719000050000,6436416.224840000300000
52,0,0,0,1,17,0.6758840,1.0701900,1.0181600,739775.778719000050000,6436416.224840000300000
53,0,0,0,1,21,0.6613550,0.9993970,0.7960770,741775.778719000050000,6436416.224840000300000
54,0,0,0,1,69,0.6344700,0.9993970,0.7960770,743775.778719000050000,6436416.224840000300000
55,0,0,0,1,19,0.5956180,1.0236700,0.8154100,753775.778719000050000,6436416.224840000300000
56,0,0,0,1,24,1.1463200,1.0236700,0.8154100,755775.778719000050000,6436416.224840000300000
57,0,0,0,1,29,1.2279100,1.0236700,0.8154100,757775.778719000050000,6436416.224840000300000
58,0,0,0,1,28,1.2771699,1.0236700,0.8154100,759775.778719000050000,6436416.224840000300000
59,0,0,0,1,26,1.3126000,1.0236700,0.8154100,761775.778719000050000,6436416.224840000300000
60,0,0,0,1,27,1.3278100,1.0236700,0.8154100,763775.778719000050000,6436416.224840000300000
61,0,0,0,1,28,1.3031100,0.9220210,0.7344420,765775.778719000050000,6436416.224840000300000
62,0,0,0,1,27,1.2597800,0.9220210,0.7344420,767775.778719000050000,6436416.224840000300000
63,0,0,0,1,26,1.1829600,0.9220210,0.7344420,769775.778719000050000,6436416.224840000300000
64,0,0,0,1,25,1.0796601,0.9220210,0.7344420,771775.778719000050000,6436416.224840000300000
65,0,0,0,1,23,0.9847640,0.9220210,0.7344420,773775.778719000050000,6436416.224840000300000
66,0,0,0,1,25,0.9340950,0.9220210,0.7344420,775775.778719000050000,6436416.224840000300000
67,0,0,0,1,27,0.8988300,0.9417150,0.8396880,777775.778719000050000,6436416.224840000300000
68,0,0,0,1,28,0.8677810,0.9417150,0.8396880,779775.778719000050000,6436416.224840000300000
69,0,0,0,1,0,0.8697570,0.9417150,0.8396880,781775.778719000050000,6436416.224840000300000
70,0,0,0,1,0,0.8706740,0.9417150,0.8396880,783775.778719000050000,6436416.224840000300000
71,0,0,0,1,14,1.2616600,0.5314280,0.0648889,857775.778719000050000,6436416.224840000300000
72,0,0,0,1,16,1.2675300,0.5314280,0.0648889,859775.778719000050000,6436416.224840000300000
73,0,0,0,1,19,1.2669700,0.5314280,0.0648889,861775.778719000050000,6436416.224840000300000
74,0,0,0,1,22,1.2652200,0.6539930,0.0798544,863775.778719000050000,6436416.224840000300000
75,0,0,0,1,25,1.2544600,0.6539930,0.0798544,865775.778719000050000,6436416.224840000300000
76,0,0,0,1,28,1.2404400,0.6539930,0.0798544,867775.778719000050000,6436416.224840000300000
77,0,0,0,1,30,1.2272800,0.6539930,0.0798544,869775.778719000050000,6436416.224840000300000
78,0,0,0,1,30,1.2213300,0.6539930,0.0798544,871775.778719000050000,6436416.224840000300000
79,0,0,0,1,29,1.2107700,0.6539930,0.0798544,873775.778719000050000,6436416.224840000300000
80,0,0,0,1,28,1.1967500,0.6539930,0.0798544,875775.778719000050000,6436416.224840000300000
81,0,0,0,1,27,1.1823300,1.6229500,0.0645655,877775.778719000050000,6436416.224840000300000
82,0,0,0,1,25,1.1664600,1.6229500,0.0645655,879775.778719000050000,6436416.224840000300000
83,0,0,0,1,24,1.1533300,1.6229500,0.0645655,881775.778719000050000,6436416.224840000300000
84,0,0,0,1,22,1.1464700,1.6229500,0.0645655,883775.778719000050000,6436416.224840000300000
85,0,0,0,1,20,1.2849500,1.6229500,0.0645655,885775.778719000050000,6436416.224840000300000
86,0,0,0,1,20,1.3352400,1.6229500,0.0645655,887775.778719000050000,6436416.224840000300000
87,0,0,0,1,21,1.3844000,1.6985600,0.0675734,889775.778719000050000,6436416.224840000300000
