x,y,region
857775.75,6434416.00,1
859775.75,6434416.00,1
861775.75,6434416.00,1
863775.75,6434416.00,1
865775.75,6434416.00,1
867775.75,6434416.00,1
869775.75,6434416.00,1
871775.75,6434416.00,1
873775.75,6434416.00,1
875775.75,6434416.00,1
877775.75,6434416.00,1
879775.75,6434416.00,1
881775.75,6434416.00,1
883775.75,6434416.00,1
885775.75,6434416.00,1
887775.75,6434416.00,1
889775.75,6434416.00,1
891775.75,6434416.00,1
893775.75,6434416.00,1
895775.75,6434416.00,1
897775.75,6434416.00,1
899775.75,6434416.00,1
901775.75,6434416.00,1
903775.75,6434416.00,1
905775.75,6434416.00,1
907775.75,6434416.00,1
857775.75,6436416.00,1
859775.75,6436416.00,1
861775.75,6436416.00,1
863775.75,6436416.00,1
865775.75,6436416.00,1
867775.75,6436416.00,1
869775.75,6436416.00,1
871775.75,6436416.00,1
873775.75,6436416.00,1
875775.75,6436416.00,1
877775.75,6436416.00,1
879775.75,6436416.00,1
881775.75,6436416.00,1
883775.75,6436416.00,1
885775.75,6436416.00,1
887775.75,6436416.00,1
889775.75,6436416.00,1
891775.75,6436416.00,1
893775.75,6436416.00,1
895775.75,6436416.00,1
897775.75,6436416.00,1
899775.75,6436416.00,1
901775.75,6436416.00,1
903775.75,6436416.00,1
905775.75,6436416.00,1
907775.75,6436416.00,1
859775.75,6438416.00,1
861775.75,6438416.00,1
863775.75,6438416.00,1
865775.75,6438416.00,1
867775.75,6438416.00,1
869775.75,6438416.00,1
871775.75,6438416.00,1
873775.75,6438416.00,1
875775.75,6438416.00,1
877775.75,6438416.00,1
879775.75,6438416.00,1
881775.75,6438416.00,1
883775.75,6438416.00,1
885775.75,6438416.00,1
887775.75,6438416.00,1
889775.75,6438416.00,1
891775.75,6438416.00,1
893775.75,6438416.00,1
895775.75,6438416.00,1
897775.75,6438416.00,1
899775.75,6438416.00,1
901775.75,6438416.00,1
903775.75,6438416.00,1
905775.75,6438416.00,1
859775.75,6440416.00,1
861775.75,6440416.00,1
863775.75,6440416.00,1
865775.75,6440416.00,1
867775.75,6440416.00,1
869775.75,6440416.00,1
871775.75,6440416.00,1
873775.75,6440416.00,1
875775.75,6440416.00,1
877775.75,6440416.00,1
879775.75,6440416.00,1
881775.75,6440416.00,1
883775.75,6440416.00,1
885775.75,6440416.00,1
887775.75,6440416.00,1
889775.75,6440416.00,1
891775.75,6440416.00,1
893775.75,6440416.00,1
895775.75,6440416.00,1
897775.75,6440416.00,1
899775.75,6440416.00,1
901775.75,6440416.00,1
903775.75,6440416.00,1
905775.75,6440416.00,1
861775.75,6442416.00,1
863775.75,6442416.00,1
865775.75,6442416.00,1
867775.75,6442416.00,1
869775.75,6442416.00,1
871775.75,6442416.00,1
873775.75,6442416.00,1
875775.75,6442416.00,1
877775.75,6442416.00,1
879775.75,6442416.00,1
881775.75,6442416.00,1
885775.75,6442416.00,1
887775.75,6442416.00,1
889775.75,6442416.00,1
891775.75,6442416.00,1
893775.75,6442416.00,1
895775.75,6442416.00,1
897775.75,6442416.00,1
899775.75,6442416.00,1
901775.75,6442416.00,1
903775.75,6442416.00,1
863775.75,6444416.00,1
865775.75,6444416.00,1
867775.75,6444416.00,1
869775.75,6444416.00,1
871775.75,6444416.00,1
873775.75,6444416.00,1
875775.75,6444416.00,1
877775.75,6444416.00,1
885775.75,6444416.00,1
887775.75,6444416.00,1
889775.75,6444416.00,1
891775.75,6444416.00,1
893775.75,6444416.00,1
895775.75,6444416.00,1
897775.75,6444416.00,1
899775.75,6444416.00,1
901775.75,6444416.00,1
903775.75,6444416.00,1
865775.75,6446416.00,1
867775.75,6446416.00,1
869775.75,6446416.00,1
871775.75,6446416.00,1
873775.75,6446416.00,1
875775.75,6446416.00,1
889775.75,6446416.00,1
891775.75,6446416.00,1
893775.75,6446416.00,1
895775.75,6446416.00,1
897775.75,6446416.00,1
901775.75,6446416.00,1
875775.75,6448416.00,1
877775.75,6448416.00,1
887775.75,6448416.00,1
889775.75,6448416.00,1
