X,Y,mammals,invertebrates,phytoplankton,fish,birds,stressor
3375829.142,4230423.467,0,0,0,0,0,1
3380829.142,4230423.467,0,0,0,0,0,1
3385829.142,4230423.467,0,0,0,0,0,1
3390829.142,4230423.467,0,0,0,0,0,1
3395829.142,4230423.467,0,0,0,0,0,1
3400829.142,4230423.467,0,0,0,0,0,1
3405829.142,4230423.467,0,0,0,0,0,1
3410829.142,4230423.467,0,0,0,0,0,1
3415829.142,4230423.467,0,0,0,0,0,1
3420829.142,4230423.467,0,0,0,0,0,1
3425829.142,4230423.467,0,0,0,0,0,1
3430829.142,4230423.467,0,0,0,0,0,1
3435829.142,4230423.467,0,0,0,0,0,1
3440829.142,4230423.467,0,0,0,0,0,1
3445829.142,4230423.467,0,0,0,0,0,1
3450829.142,4230423.467,0,0,0,0,0,1
3455829.142,4230423.467,0,0,0,0,0,1
3460829.142,4230423.467,0,0,0,0,0,1
3465829.142,4230423.467,0,0,0,0,0,1
3470829.142,4230423.467,0,0,0,0,0,1
3475829.142,4230423.467,0,0,0,0,0,1
3480829.142,4230423.467,0,0,0,0,0.003205128,1
3485829.142,4230423.467,0,0,0,0,0,1
3490829.142,4230423.467,0,0,0,0,0,1
3495829.142,4230423.467,0,0,0,0,0,1
3500829.142,4230423.467,0,0,0,0,0,1
3505829.142,4230423.467,0,0,0,0,0,1
3510829.142,4230423.467,0,0,0,0,0,1
3515829.142,4230423.467,0,0,0,0,0,1
3520829.142,4230423.467,0,0,0,0,0,1
3525829.142,4230423.467,0,0,0,0,0,1
3530829.142,4230423.467,0,0,0,0,0,1
3535829.142,4230423.467,0,0,0,0,0,1
3540829.142,4230423.467,0,0,0,0,0,1
3545829.142,4230423.467,0,0,0,0,0,1
3550829.142,4230423.467,0,0,0,0,0,1
3555829.142,4230423.467,0,0,0,0,0,1
3560829.142,4230423.467,0,0,0,0,0,1
3565829.142,4230423.467,0,0,0,0,0,1
3570829.142,4230423.467,0,0,0,0,0,1
3575829.142,4230423.467,0,0,0,0,0,1
3580829.142,4230423.467,0,0,0,0,0,1
3585829.142,4230423.467,0,0,0,0,0,1
3590829.142,4230423.467,0,0,0,0,0,1
3595829.142,4230423.467,0,0,0,0,0,1
