Species Richness Mapping Parameters for Echinodermata (with a probability of occurrence > 0.5)
"Cite Map as: AquaMaps (2019, October). Computer Generated Species Richness Map for "Echinodermata. Retrieved from htttps://www.aquamaps.org.
"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

C-Square Code,Center Latitude,Center Longitude,Species Count
1112:225:1,12.25,125.25,512
1012:111:2,1.25,121.75,498
3012:132:2,-3.25,122.75,497
3012:143:3,-4.75,123.25,497
3012:354:3,-5.75,124.25,495
3012:216:3,-1.75,126.25,494
3011:477:3,-7.75,117.25,493
1012:235:2,3.25,125.75,491
3012:354:1,-5.25,124.25,491
3011:469:3,-6.75,119.25,486
3011:478:1,-7.25,118.25,485
1012:235:4,3.75,125.75,484
3011:227:2,-2.25,117.75,483
3011:475:1,-7.25,115.25,483
3011:475:2,-7.25,115.75,483
3012:353:4,-5.75,123.75,481
3011:374:4,-7.75,114.75,480
3011:476:1,-7.25,116.25,480
3012:141:1,-4.25,121.25,480
1012:496:1,9.25,126.25,479
1112:380:2,18.25,120.75,479
1012:354:4,5.75,124.75,478
1112:134:3,13.75,124.25,478
1012:114:1,1.25,124.25,476
1012:225:4,2.75,125.75,475
3012:353:1,-5.25,123.25,475
1012:466:1,6.25,126.25,474
1112:361:2,16.25,121.75,473
3012:352:2,-5.25,122.75,473
3012:476:4,-7.75,126.75,473
3012:360:1,-6.25,120.25,472
3013:352:3,-5.75,132.25,472
1011:208:4,0.75,118.75,471
1012:235:3,3.75,125.25,471
1012:225:3,2.75,125.25,470
3012:371:1,-7.25,121.25,470
3012:364:1,-6.25,124.25,469
3013:130:2,-3.25,130.75,469
3012:352:4,-5.75,122.75,468
3012:457:4,-5.75,127.75,468
3013:140:3,-4.75,130.25,468
1011:498:4,9.75,118.75,467
1012:112:1,1.25,122.25,467
1012:114:2,1.25,124.75,467
1012:225:1,2.25,125.25,467
3012:249:4,-4.75,129.75,466
3012:350:3,-5.75,120.25,466
3012:477:1,-7.25,127.25,466
1012:466:3,6.75,126.25,465
1112:205:1,10.25,125.25,465
3012:112:4,-1.75,122.75,465
3012:143:1,-4.25,123.25,465
3013:371:4,-7.75,131.75,465
1012:246:4,4.75,126.75,464
3011:247:3,-4.75,117.25,464
3012:133:3,-3.75,123.25,464
3012:249:2,-4.25,129.75,464
3012:354:2,-5.25,124.75,464
3013:363:2,-6.25,133.75,464
1112:360:3,16.75,120.25,463
3012:112:2,-1.25,122.75,463
3012:353:2,-5.25,123.75,463
3013:141:4,-4.75,131.75,463
1112:372:1,17.25,122.25,462
1112:372:3,17.75,122.25,462
3011:477:2,-7.25,117.75,462
3012:217:3,-1.75,127.25,462
3012:226:1,-2.25,126.25,462
3012:477:3,-7.75,127.25,462
3013:362:3,-6.75,132.25,462
1011:228:2,2.25,118.75,461
3011:249:1,-4.25,119.25,461
3012:122:3,-2.75,122.25,461
3012:225:2,-2.25,125.75,461
3013:120:3,-2.75,130.25,461
3011:477:1,-7.25,117.25,460
3012:216:4,-1.75,126.75,460
3012:362:2,-6.25,122.75,460
3013:352:1,-5.25,132.25,460
3013:361:4,-6.75,131.75,460
1012:215:3,1.75,125.25,459
1112:382:3,18.75,122.25,459
3012:370:2,-7.25,120.75,459
3013:131:3,-3.75,131.25,459
1112:370:3,17.75,120.25,458
3012:353:3,-5.75,123.25,458
3013:372:1,-7.25,132.25,458
1012:236:4,3.75,126.75,457
1112:133:2,13.25,123.75,457
3012:100:3,-0.75,120.25,457
3012:140:4,-4.75,120.75,457
3012:236:1,-3.25,126.25,457
3012:476:3,-7.75,126.25,457
3011:478:2,-7.25,118.75,456
3012:236:3,-3.75,126.25,456
3013:353:3,-5.75,133.25,456
1011:218:4,1.75,118.75,455
3013:130:1,-3.25,130.25,455
3013:354:1,-5.25,134.25,455
1011:209:3,0.75,119.25,454
1011:219:1,1.25,119.25,454
3012:141:3,-4.75,121.25,454
3013:381:1,-8.25,131.25,454
1012:110:1,1.25,120.25,453
1012:383:3,8.75,123.25,453
1112:144:1,14.25,124.25,453
1112:352:1,15.25,122.25,453
3011:457:1,-5.25,117.25,453
3012:133:1,-3.25,123.25,453
3011:374:2,-7.25,114.75,452
3012:141:4,-4.75,121.75,452
1012:100:3,0.75,120.25,451
1012:111:1,1.25,121.25,451
1012:215:1,1.25,125.25,451
1111:459:4,15.75,119.75,451
1112:215:4,11.75,125.75,451
1012:110:2,1.25,120.75,450
1212:143:1,24.25,123.25,450
3012:113:1,-1.25,123.25,450
3012:371:2,-7.25,121.75,450
3013:371:1,-7.25,131.25,450
3116:110:3,-11.75,160.25,450
1012:112:2,1.25,122.75,449
1112:123:3,12.75,123.25,449
3012:362:3,-6.75,122.25,449
3012:475:4,-7.75,125.75,449
3013:141:2,-4.25,131.75,449
1112:130:4,13.75,120.75,448
1112:370:1,17.25,120.25,448
1212:101:4,20.75,121.75,448
3011:248:4,-4.75,118.75,448
3011:466:3,-6.75,116.25,448
3012:370:1,-7.25,120.25,448
3013:352:2,-5.25,132.75,448
1112:130:2,13.25,120.75,447
3012:351:2,-5.25,121.75,447
1012:104:4,0.75,124.75,446
1212:120:1,22.25,120.25,446
3012:215:4,-1.75,125.75,446
3012:350:1,-5.25,120.25,446
3013:363:3,-6.75,133.25,446
1011:209:4,0.75,119.75,445
3012:239:1,-3.25,129.25,445
3012:477:4,-7.75,127.75,445
3013:351:4,-5.75,131.75,445
1111:380:2,18.25,110.75,444
1112:351:4,15.75,121.75,444
3012:361:3,-6.75,121.25,444
1012:245:4,4.75,125.75,443
1112:132:2,13.25,122.75,443
1112:362:3,16.75,122.25,443
3013:352:4,-5.75,132.75,443
1012:394:2,9.25,124.75,442
1012:394:4,9.75,124.75,442
3011:468:3,-6.75,118.25,442
3012:140:3,-4.75,120.25,442
3012:229:4,-2.75,129.75,442
3012:350:4,-5.75,120.75,442
1012:113:1,1.25,123.25,441
1016:487:4,8.75,167.75,441
1212:110:4,21.75,120.75,441
3011:458:2,-5.25,118.75,441
3012:207:1,-0.25,127.25,441
3012:219:2,-1.25,129.75,441
3013:354:3,-5.75,134.25,441
1012:247:3,4.75,127.25,440
1012:455:4,5.75,125.75,440
1111:219:4,11.75,119.75,440
1112:124:3,12.75,124.25,440
3012:103:3,-0.75,123.25,440
3012:132:4,-3.75,122.75,440
3013:110:1,-1.25,130.25,440
3013:120:1,-2.25,130.25,440
1016:478:2,7.25,168.75,439
1016:497:1,9.25,167.25,439
1110:219:4,11.75,109.75,439
3012:238:4,-3.75,128.75,439
3013:141:1,-4.25,131.25,439
1011:459:2,5.25,119.75,438
1016:248:4,4.75,168.75,438
1016:499:2,9.25,169.75,438
1017:381:3,8.75,171.25,438
3012:219:1,-1.25,129.25,438
3012:238:2,-3.25,128.75,438
3013:120:2,-2.25,130.75,438
3115:114:3,-11.75,154.25,438
3116:205:2,-10.25,165.75,438
1012:207:3,0.75,127.25,437
1012:217:4,1.75,127.75,437
1012:495:3,9.75,125.25,437
1112:132:4,13.75,122.75,437
3012:113:4,-1.75,123.75,437
3012:350:2,-5.25,120.75,437
1012:455:2,5.25,125.75,436
1016:478:3,7.75,168.25,436
3011:239:3,-3.75,119.25,436
3012:217:1,-1.25,127.25,436
3012:229:3,-2.75,129.25,436
3115:114:1,-11.25,154.25,436
1012:392:2,9.25,122.75,435
1112:122:2,12.25,122.75,435
3011:238:2,-3.25,118.75,435
3012:140:1,-4.25,120.25,435
3115:113:3,-11.75,153.25,435
3115:113:4,-11.75,153.75,435
1012:246:2,4.25,126.75,434
1012:455:1,5.25,125.25,434
1012:455:3,5.75,125.25,434
3011:217:3,-1.75,117.25,434
3011:228:3,-2.75,118.25,434
3012:114:4,-1.75,124.75,434
3012:228:4,-2.75,128.75,434
1012:495:2,9.25,125.75,433
1017:352:3,5.75,172.25,433
3011:459:3,-5.75,119.25,433
3012:122:2,-2.25,122.75,433
3012:236:4,-3.75,126.75,433
3013:130:3,-3.75,130.25,433
3013:130:4,-3.75,130.75,433
3116:120:1,-12.25,160.25,433
1011:249:4,4.75,119.75,432
1012:217:1,1.25,127.25,432
1112:142:4,14.75,122.75,432
3011:247:4,-4.75,117.75,432
3012:228:3,-2.75,128.25,432
3012:238:3,-3.75,128.25,432
3013:353:1,-5.25,133.25,432
3013:371:3,-7.75,131.25,432
3116:102:4,-10.75,162.75,432
1112:205:3,10.75,125.25,431
3011:227:1,-2.25,117.25,431
3016:391:4,-9.75,161.75,431
1012:245:3,4.75,125.25,430
3011:219:1,-1.25,119.25,430
3011:238:4,-3.75,118.75,430
3014:497:3,-9.75,147.25,430
1011:208:3,0.75,118.25,429
1012:486:3,8.75,126.25,429
1110:229:2,12.25,109.75,429
3011:458:1,-5.25,118.25,429
3012:360:3,-6.75,120.25,429
3011:457:4,-5.75,117.75,428
3012:113:2,-1.25,123.75,428
3012:131:3,-3.75,121.25,428
3012:237:2,-3.25,127.75,428
1012:114:4,1.75,124.75,427
1012:350:1,5.25,120.25,427
1012:382:2,8.25,122.75,427
1016:497:2,9.25,167.75,427
3011:466:1,-6.25,116.25,427
3011:468:2,-6.25,118.75,427
3012:237:3,-3.75,127.25,427
3013:225:3,-2.75,135.25,427
1011:498:1,9.25,118.25,426
1012:393:1,9.25,123.25,426
1110:229:4,12.75,109.75,426
3012:237:1,-3.25,127.25,426
3012:237:4,-3.75,127.75,426
3013:371:2,-7.25,131.75,426
3115:102:4,-10.75,152.75,426
3116:110:4,-11.75,160.75,426
1012:207:1,0.25,127.25,425
1013:111:1,1.25,131.25,425
1017:361:2,6.25,171.75,425
1111:219:1,11.25,119.25,425
1112:114:1,11.25,124.25,425
1112:381:3,18.75,121.25,425
3011:468:4,-6.75,118.75,425
3012:209:2,-0.25,129.75,425
3012:236:2,-3.25,126.75,425
1010:498:2,9.25,108.75,424
1011:498:3,9.75,118.25,424
1012:103:2,0.25,123.75,424
1112:143:2,14.25,123.75,424
3011:237:4,-3.75,117.75,424
3012:100:4,-0.75,120.75,424
3012:360:4,-6.75,120.75,424
3014:486:3,-8.75,146.25,424
1012:350:2,5.25,120.75,423
1016:479:3,7.75,169.25,423
1016:488:1,8.25,168.25,423
1016:496:2,9.25,166.75,423
1017:390:1,9.25,170.25,423
3012:207:3,-0.75,127.25,423
3012:354:4,-5.75,124.75,423
3016:391:2,-9.25,161.75,423
1011:219:3,1.75,119.25,422
1112:100:4,10.75,120.75,422
1112:130:1,13.25,120.25,422
1212:144:3,24.75,124.25,422
1212:245:4,24.75,125.75,422
3011:209:2,-0.25,119.75,422
3011:456:2,-5.25,116.75,422
3012:352:1,-5.25,122.25,422
3014:205:3,-0.75,145.25,422
3116:102:1,-10.25,162.25,422
1011:459:4,5.75,119.75,421
1012:351:3,5.75,121.25,421
1016:478:4,7.75,168.75,421
1116:215:3,11.75,165.25,421
3011:459:4,-5.75,119.75,421
3012:209:4,-0.75,129.75,421
3013:380:2,-8.25,130.75,421
1013:142:3,4.75,132.25,420
1016:499:4,9.75,169.75,420
1112:133:4,13.75,123.75,420
1212:143:2,24.25,123.75,420
3012:239:2,-3.25,129.75,420
3116:101:2,-10.25,161.75,420
3116:120:3,-12.75,160.25,420
1011:465:1,6.25,115.25,419
1016:499:3,9.75,169.25,419
1112:380:4,18.75,120.75,419
1112:391:2,19.25,121.75,419
1116:209:2,10.25,169.75,419
1212:353:4,25.75,123.75,419
3012:209:1,-0.25,129.25,419
3012:360:2,-6.25,120.75,419
1015:114:2,1.25,154.75,418
1111:229:2,12.25,119.75,418
3012:489:1,-8.25,129.25,418
3115:101:2,-10.25,151.75,418
1017:371:1,7.25,171.25,417
1017:381:1,8.25,171.25,417
3012:103:4,-0.75,123.75,417
3012:219:4,-1.75,129.75,417
3017:466:1,-6.25,176.25,417
3116:101:4,-10.75,161.75,417
3116:205:4,-10.75,165.75,417
1011:207:2,0.25,117.75,416
1011:249:1,4.25,119.25,416
1011:392:4,9.75,112.75,416
1112:100:3,10.75,120.25,416
1212:120:2,22.25,120.75,416
3011:209:4,-0.75,119.75,416
3011:249:3,-4.75,119.25,416
3015:391:2,-9.25,151.75,416
3016:381:3,-8.75,161.25,416
3115:111:2,-11.25,151.75,416
3116:102:3,-10.75,162.25,416
1013:121:4,2.75,131.75,415
1111:208:4,10.75,118.75,415
1112:381:4,18.75,121.75,415
3012:112:3,-1.75,122.25,415
3114:245:1,-14.25,145.25,415
1011:487:3,8.75,117.25,414
1012:103:4,0.75,123.75,414
1012:393:2,9.25,123.75,414
1016:495:2,9.25,165.75,414
3016:382:2,-8.25,162.75,414
1011:209:2,0.25,119.75,413
1112:102:1,10.25,122.25,413
1112:120:4,12.75,120.75,413
1112:123:4,12.75,123.75,413
3013:363:4,-6.75,133.75,413
3014:486:4,-8.75,146.75,413
1017:380:4,8.75,170.75,412
1111:209:2,10.25,119.75,412
1111:370:3,17.75,110.25,412
1112:101:3,10.75,121.25,412
1112:142:2,14.25,122.75,412
1212:144:1,24.25,124.25,412
3012:101:3,-0.75,121.25,412
3013:354:2,-5.25,134.75,412
3015:393:2,-9.25,153.75,412
3015:479:4,-7.75,159.75,412
3016:380:4,-8.75,160.75,412
1012:392:3,9.75,122.25,411
1013:131:2,3.25,131.75,411
