Mapping parameters for Balaenoptera musculus (blue whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 2700)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Balaenoptera,musculus,-78.75,-166.25,5716:486:3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76
Balaenoptera,musculus,-78.75,-170.75,5717:380:4,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,169
Balaenoptera,musculus,-78.25,174.75,3717:384:2,364,-9999,-9999,-9999,-9999,-9999,-9999,-9999,161
Balaenoptera,musculus,-78.25,176.75,3717:486:2,444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,204
Balaenoptera,musculus,-78.25,-171.25,5717:381:1,473,-1.63904297351837,1.57688498497009,34.0051193237305,34.6304512023926,3.28100007027388,0.373299986124039,271.353454589844,197
Balaenoptera,musculus,-77.75,-172.25,5717:372:3,441,-1.61042094230652,1.53641200065613,34.0195465087891,34.5568809509277,3.35399992763996,0.361258000135422,280.010986328125,244
Balaenoptera,musculus,-75.75,172.75,3717:352:4,399,-1.48692095279694,-1.46468305587769,34.2658767700195,34.803050994873,1.92099995911121,0.60038298368454,310.576477050781,123
Balaenoptera,musculus,-75.75,173.25,3717:353:3,421,-1.49533402919769,-1.16020500659943,34.2398376464844,34.7334213256836,1.80299999192357,0.601294994354248,308.603851318359,137
Balaenoptera,musculus,-75.75,175.25,3717:455:3,503,-1.50851595401764,-1.01864302158356,34.2108955383301,34.7059593200684,1.7490000464022202,0.601202011108398,305.152496337891,192
Balaenoptera,musculus,-75.75,175.75,3717:455:4,495,-1.51322102546692,-1.17584097385406,34.202823638916,34.7005462646484,1.7579999985173298,0.603859007358551,308.537536621094,205
Balaenoptera,musculus,-75.75,176.75,3717:456:4,486,-1.52778899669647,-0.911109983921051,34.1821250915527,34.6888847351074,1.75699999090284,0.613897979259491,305.8232421875,233
Balaenoptera,musculus,-75.75,-173.25,5717:353:3,1363,-1.68447995185852,1.60032999515533,34.0397872924805,34.7175598144531,1.83399999514222,0.722184002399445,246.631637573242,427
Balaenoptera,musculus,-75.75,-175.25,5717:455:3,931,-1.67452895641327,1.52384400367737,34.0591888427734,34.6474189758301,1.93999998737127,0.70066499710083,272.286865234375,450
Balaenoptera,musculus,-75.75,-175.75,5717:455:4,888,-1.66393494606018,1.53539800643921,34.0622062683105,34.6461410522461,2.0049999002367302,0.696142017841339,273.127075195313,437
Balaenoptera,musculus,-75.25,170.25,3717:350:1,418,-1.4614520072937,-1.5426470041275,34.2502174377441,34.7969398498535,1.83099997229874,0.652818024158478,310.914489746094,84
