Mapping parameters for Balaena mysticetus (bowhead whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1445)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Balaena,mysticetus,41.75,-68.75,7406:218:4,154,11.8383026123047,10.1625070571899,32.2763404846191,33.7980575561523,4.36299992725253,0,158.733581542969,124
Balaena,mysticetus,41.75,-70.25,7407:110:3,15,11.8125467300415,11.5523471832275,31.5223865509033,32.0987129211426,7.24499998614192,0,278.130126953125,16
Balaena,mysticetus,42.25,-70.25,7407:120:1,54,11.5375890731812,8.23117542266846,31.6425704956055,32.2012329101563,7.55799980834126,0,311.558807373047,20
Balaena,mysticetus,47.25,-52.75,7405:372:2,110,5.93896579742432,-0.0113159995526075,31.7521133422852,32.9201545715332,8.70999973267317,0.000377999996999279,326.283599853516,12
Balaena,mysticetus,49.75,-49.75,7404:499:4,936,5.00606489181519,3.19533491134644,33.8655586242676,34.8915481567383,9.17300023138523,0.0000989999971352518,278.1494140625,295
Balaena,mysticetus,51.25,3.75,1500:113:2,7,12.426796913147,12.2071399688721,31.5426902770996,33.7461624145508,31.6196903586388,0,279.884338378906,3
Balaena,mysticetus,51.25,141.25,1514:111:1,228,6.19750690460205,2.98558306694031,28.5863609313965,33.3612098693848,12.1799996122718,0.157645002007484,271.51220703125,52
Balaena,mysticetus,51.25,141.75,1514:111:2,273,6.0971040725708,3.01515197753906,28.2377243041992,33.1502838134766,15.5100002884865,0.187309995293617,302.961364746094,52
Balaena,mysticetus,51.25,142.25,1514:112:1,73,5.4361400604248,3.14824342727661,29.1232604980469,32.8114471435547,18.0730428546667,0.182472065091133,300.958251953125,8
Balaena,mysticetus,51.75,141.75,1514:111:4,38,5.91518783569336,4.91516399383545,26.1968383789063,32.1445503234863,37.9940010607243,0.22036699950695,347.370666503906,12
Balaena,mysticetus,52.25,4.25,1500:124:1,20,12.030909538269,11.9178743362427,30.5251770019531,34.340446472168,46.4860014617443,0,283.881225585938,16
Balaena,mysticetus,52.25,141.75,1514:121:2,16,5.40687608718872,4.27165126800537,25.5588283538818,31.8803825378418,38.5792590677738,0.27596041560173,347.716735839844,7
Balaena,mysticetus,52.25,-9.75,7500:229:2,13,12.067343711853,11.3972864151001,34.721321105957,35.3587951660156,14.4952852278948,0,265.942413330078,5
Balaena,mysticetus,52.25,-174.75,7517:124:2,757,5.51073598861694,4.51453399658203,32.6999130249023,33.5839576721191,14.333999715745401,0,119.641510009766,16
Balaena,mysticetus,52.75,3.25,1500:123:3,30,11.918098449707,11.4846782684326,34.1355934143066,34.6203002929688,8.89699999243021,0,282.859710693359,121
