Mapping parameters for Megaptera novaeangliae (humpback whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 4984)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Megaptera,novaeangliae,-74.25,178.25,3717:248:1,383,-1.55211794376373,0.221405997872353,34.1469345092773,34.6477813720703,1.38100003823638,0.633553981781006,286.128356933594,335
Megaptera,novaeangliae,-74.25,-130.75,5713:140:2,52,-1.67557799816132,1.37761795520782,33.3192901611328,34.6673126220703,2.64599989168346,0.52490097284317,243.757843017578,7
Megaptera,novaeangliae,-72.75,-130.75,5713:120:4,1838,-1.75682103633881,0.53760701417923,33.6330375671387,34.7140998840332,1.4280000468715999,0.801723003387451,221.539184570313,143
Megaptera,novaeangliae,-72.75,-162.75,5716:122:4,4144,-1.68054497241974,-0.0736479982733727,33.8265838623047,34.7068710327148,1.07300002127886,0.769632995128632,250.075988769531,533
Megaptera,novaeangliae,-70.25,-179.75,5717:209:2,3215,-1.64905798435211,0.0960159972310066,33.9788856506348,34.6910858154297,1.23900000471622,0.677182018756866,246.126358032227,384
Megaptera,novaeangliae,-69.75,-171.25,5617:391:3,4087,-1.66301500797272,-0.0319989994168282,34.0123405456543,34.7032318115234,1.21500005479902,0.658618986606598,249.350448608398,705
Megaptera,novaeangliae,-69.25,166.25,3616:496:1,2213,-1.76225996017456,0.755137979984283,34.0377922058105,34.7100067138672,1.38699996750802,0.807725012302399,247.022094726563,155
Megaptera,novaeangliae,-69.25,166.75,3616:496:2,2205,-1.75717794895172,0.614099979400635,34.033935546875,34.7101516723633,1.38100003823638,0.800700008869171,246.535598754883,167
Megaptera,novaeangliae,-69.25,-72.75,5607:392:2,147,-1.47619903087616,-0.856890022754669,32.5190277099609,34.2494659423828,3.7990000564605,0.498324990272522,218.806182861328,9
Megaptera,novaeangliae,-69.25,-166.75,5616:496:2,3964,-1.6222859621048,0.00808400008827448,34.0088768005371,34.6995735168457,1.30600004922599,0.630496978759766,250.222900390625,888
Megaptera,novaeangliae,-69.25,-171.75,5617:391:2,4100,-1.63646197319031,-0.00809700042009354,33.9901504516602,34.7033386230469,1.33500003721565,0.638025999069214,248.553039550781,711
Megaptera,novaeangliae,-69.25,-172.75,5617:392:2,4197,-1.63796401023865,-0.0140380002558231,33.9771461486816,34.7033042907715,1.3399999588728,0.642987012863159,248.256576538086,676
Megaptera,novaeangliae,-69.25,-174.25,5617:394:1,4073,-1.63753604888916,-0.0328969992697239,33.9778289794922,34.7023391723633,1.22299999929965,0.65370899438858,248.614944458008,624
Megaptera,novaeangliae,-68.75,166.75,3616:486:4,2433,-1.76207494735718,0.537240028381348,34.019962310791,34.7098541259766,1.35399994906038,0.801005005836487,246.37370300293,207
