Mapping parameters for Hyperoodon ampullatus (North Atlantic bottlenose whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 401)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Hyperoodon,ampullatus,0.25,0.25,1000:100:1,4896,27.2128868103027,1.81861698627472,34.8309631347656,34.8551635742188,7.13599985465407,0,236.699188232422,594
Hyperoodon,ampullatus,26.25,-77.25,7207:467:1,411,26.4556503295898,26.5162296295166,36.4585762023926,36.4690628051758,1.30799994803965,0,205.663848876953,21
Hyperoodon,ampullatus,31.75,-27.75,7302:217:4,2609,21.8767223358154,2.44127297401428,36.8807678222656,34.9213447570801,0.334999989718199,0,252.111083984375,649
Hyperoodon,ampullatus,31.75,-28.25,7302:218:3,2155,21.8756713867188,2.72948288917542,36.8791236877441,34.9472312927246,0.339999998686835,0,256.826354980469,668
Hyperoodon,ampullatus,33.25,-17.25,7301:237:1,3565,20.4873733520508,2.28181099891663,36.728385925293,34.9171028137207,0.246999989030883,0,246.618118286133,102
Hyperoodon,ampullatus,33.25,-56.75,7305:236:2,5343,22.9464683532715,1.53705298900604,36.5528907775879,34.8675537109375,4.36899997293949,0,257.574035644531,803
Hyperoodon,ampullatus,34.25,-26.25,7302:246:1,4598,21.1268043518066,2.01549100875854,36.6378631591797,34.8899345397949,0.35899999784305703,0,252.268524169922,338
Hyperoodon,ampullatus,34.25,-27.75,7302:247:2,3950,21.1960601806641,2.2081139087677,36.6179122924805,34.9076232910156,0.346999993780628,0,251.335189819336,404
Hyperoodon,ampullatus,34.25,-75.25,7307:245:1,2999,25.5423412322998,2.61225700378418,36.200569152832,34.9438400268555,7.58499978110194,0,268.876647949219,153
Hyperoodon,ampullatus,34.25,-75.75,7307:245:2,987,25.4038352966309,3.74761390686035,36.1713066101074,35.0183792114258,9.23299975693226,0,240.899124145508,118
Hyperoodon,ampullatus,35.25,-22.25,7302:352:1,4889,20.3578224182129,2.00599598884583,36.5389366149902,34.8929061889648,0.394000002415851,0,252.122665405273,363
Hyperoodon,ampullatus,35.25,-48.25,7304:458:1,3943,21.9827194213867,2.49277305603027,36.3810043334961,34.9461364746094,3.74200008809566,0,270.352874755859,1378
Hyperoodon,ampullatus,35.75,-22.75,7302:352:4,4523,20.177303314209,2.0108470916748,36.509147644043,34.8924674987793,0.5259999888949101,0,252.10041809082,295
Hyperoodon,ampullatus,35.75,-75.75,7307:455:4,4,19.6409339904785,20.7054328918457,34.0353660583496,33.781566619873,15.030000358819999,0,224.151641845703,15
Hyperoodon,ampullatus,36.25,-2.75,7300:362:2,1239,19.1276454925537,13.0355615615845,36.2791290283203,38.4271049499512,2.45000002905726,0,193.491973876953,89
