Mapping parameters for Physeter macrocephalus (sperm whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 19181)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Physeter,macrocephalus,-74.25,-130.75,5713:140:2,52,-1.67557799816132,1.37761795520782,33.3192901611328,34.6673126220703,2.64599989168346,0.52490097284317,243.757843017578,7
Physeter,macrocephalus,-74.25,178.25,3717:248:1,383,-1.55211794376373,0.221405997872353,34.1469345092773,34.6477813720703,1.38100003823638,0.633553981781006,286.128356933594,335
Physeter,macrocephalus,-72.75,-130.75,5713:120:4,1838,-1.75682103633881,0.53760701417923,33.6330375671387,34.7140998840332,1.4280000468715999,0.801723003387451,221.539184570313,143
Physeter,macrocephalus,-69.25,-72.75,5607:392:2,147,-1.47619903087616,-0.856890022754669,32.5190277099609,34.2494659423828,3.7990000564605,0.498324990272522,218.806182861328,9
Physeter,macrocephalus,-68.75,-90.75,5609:380:4,1729,-1.31055998802185,1.77747297286987,33.29248046875,34.704418182373,2.38600000739098,0.409583002328873,227.181900024414,9
Physeter,macrocephalus,-68.25,-90.25,5609:380:1,3965,-1.17816197872162,0.197631999850273,33.3313102722168,34.7073097229004,2.19999998807907,0.374300986528397,218.426177978516,76
Physeter,macrocephalus,-68.25,-178.75,5617:488:2,2856,-1.56070101261139,0.114559002220631,33.9635391235352,34.6924438476563,1.28399999812245,0.605406999588013,246.452133178711,543
Physeter,macrocephalus,-67.75,74.25,3607:374:3,509,-1.49478900432587,-0.846017003059387,34.1259078979492,34.5447120666504,1.98900001123548,0.608346998691559,280.788513183594,197
Physeter,macrocephalus,-67.25,164.75,3616:374:2,779,-1.68967795372009,1.55196404457092,33.909854888916,34.7209892272949,2.68299994058907,0.66721498966217,245.258575439453,11
Physeter,macrocephalus,-67.25,66.25,3606:476:1,400,-1.62638902664185,-1.49026298522949,34.114818572998,34.4910697937012,2.56799999624491,0.57165002822876,310.716522216797,77
Physeter,macrocephalus,-67.25,-75.75,5607:475:2,3444,-0.907239973545074,0.33653798699379,33.4794425964355,34.7031936645508,2.02000001445413,0.327271014451981,215.463806152344,257
Physeter,macrocephalus,-66.75,-68.25,5606:468:3,215,-0.975458979606628,-0.95209002494812,33.0260581970215,34.3902778625488,5.79599989578128,0.356914013624191,219.783294677734,6
Physeter,macrocephalus,-66.75,-69.25,5606:469:3,393,-0.83424299955368,-0.731814026832581,33.1357231140137,34.6796493530273,3.85500001721084,0.342123001813889,212.198745727539,44
Physeter,macrocephalus,-66.75,72.75,3607:362:4,680,-1.54488301277161,0.745943009853363,34.0141868591309,34.6370811462402,1.82000000495464,0.635105013847351,233.805618286133,192
