Mapping parameters for Stenella frontalis (Atlantic spotted dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 661)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Stenella,frontalis,-16.75,-5.25,5100:465:3,4489,22.3555870056152,2.03728008270264,36.5177536010742,34.8870010375977,2.46899994090199,0,236.769683837891,177
Stenella,frontalis,-15.75,-5.75,5100:455:4,2972,22.605770111084,2.81452298164368,36.5627746582031,34.9124145507813,1.69800000730902,0,238.082473754883,26
Stenella,frontalis,-11.25,11.25,3101:111:1,3724,25.2807464599609,2.07635498046875,35.6284484863281,34.9020080566406,10.3599997237325,0,230.419448852539,284
Stenella,frontalis,-11.25,13.75,3101:113:2,198,24.3192348480225,25.0321025848389,34.8841896057129,35.4482345581055,63.578002154827104,0,213.299057006836,20
Stenella,frontalis,-5.75,10.25,3001:350:3,2645,26.4040031433105,2.67438697814941,32.4195823669434,34.9259452819824,12.6489996910095,0,234.198211669922,250
Stenella,frontalis,-5.25,11.75,3001:351:2,137,25.5379009246826,19.1050338745117,21.0254745483398,35.8229904174805,23.7830001860857,0,107.420944213867,83
Stenella,frontalis,-5.25,-33.75,5003:353:2,4343,27.7122535705566,0.858120977878571,36.0518608093262,34.7248992919922,1.03799998760223,0,237.934967041016,201
Stenella,frontalis,-4.75,10.75,3001:140:4,1907,26.0532283782959,3.48589396476746,29.4701194763184,34.9518051147461,15.328000299632501,0,220.418991088867,129
Stenella,frontalis,-4.75,-37.25,5003:247:3,17,27.7638740539551,27.6566143035889,35.807300567627,36.1932029724121,8.58100038021803,0,201.216186523438,15
Stenella,frontalis,-4.25,11.25,3001:141:1,89,25.6444396972656,19.9574089050293,27.6368923187256,35.8543891906738,19.6640007197857,0,141.725341796875,26
Stenella,frontalis,-1.75,7.75,3000:217:4,2836,26.3954238891602,2.54382801055908,33.3511734008789,34.918815612793,9.92599967867136,0,235.409744262695,180
Stenella,frontalis,-0.25,9.25,3000:209:1,31,27.1352634429932,27.4086532592773,29.1966609954834,33.4468383789063,13.306000269949399,0,209.052032470703,19
Stenella,frontalis,0.25,0.25,1000:100:1,4896,27.2128868103027,1.81861698627472,34.8309631347656,34.8551635742188,7.13599985465407,0,236.699188232422,594
Stenella,frontalis,0.25,8.75,1000:208:2,814,27.3471546173096,8.01924419403076,29.578971862793,34.8195877075195,9.5990002155304,0,67.3567276000977,97
Stenella,frontalis,1.25,9.25,1000:219:1,377,27.6203212738037,27.864501953125,25.8716640472412,33.903923034668,6.01600017398596,0,221.734222412109,27
Stenella,frontalis,1.75,9.25,1000:219:3,1196,27.7102699279785,5.4777979850769,25.2876987457275,34.5338706970215,4.6080001629889,0,106.905860900879,83
