Mapping parameters for Globicephala melas (long-finned pilot whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1624)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Globicephala,melas,-69.75,-24.25,5602:394:3,4557,-1.64220297336578,-0.652145028114319,34.119686126709,34.6520004272461,1.55399995855987,0.701977014541626,270.603118896484,489
Globicephala,melas,-68.25,-178.75,5617:488:2,2856,-1.56070101261139,0.114559002220631,33.9635391235352,34.6924438476563,1.28399999812245,0.605406999588013,246.452133178711,543
Globicephala,melas,-64.25,81.75,3608:141:2,3686,-1.15157794952393,-0.0796130001544952,33.8655014038086,34.6697540283203,1.7239999724552,0.479010999202728,231.369262695313,325
Globicephala,melas,-63.75,69.75,3606:239:4,3633,-1.17107498645782,-0.140855997800827,33.8209037780762,34.6670074462891,1.87899998854846,0.455262005329132,231.77018737793,469
Globicephala,melas,-63.75,73.75,3607:133:4,3745,-1.06957900524139,-0.119806997478008,33.8285484313965,34.6592903137207,1.93699996452779,0.40954801440239,230.805023193359,505
Globicephala,melas,-63.75,-60.25,5606:130:3,307,-0.890034973621368,-1.21711802482605,33.9468002319336,34.5987777709961,11.2659996375442,0.147336006164551,266.169189453125,10
Globicephala,melas,-62.25,95.75,3609:225:2,3875,-0.886569023132324,-0.0917249992489815,33.9449424743652,34.6775512695313,2.06699990667403,0.302303999662399,234.031097412109,426
Globicephala,melas,-61.75,99.75,3609:219:4,4501,-0.558332026004791,-0.0881249979138374,33.9484596252441,34.6736488342285,2.03200010582805,0.177950993180275,233.336929321289,416
Globicephala,melas,-61.25,91.25,3609:111:1,4239,-0.468102991580963,-0.0858109965920448,33.8360443115234,34.6697006225586,2.32800003141165,0.183610007166862,231.451873779297,530
Globicephala,melas,-61.25,91.75,3609:111:2,4210,-0.459982991218567,-0.0868420004844666,33.838306427002,34.6718864440918,2.30100005865097,0.182466000318527,231.512420654297,528
Globicephala,melas,-61.25,-45.25,5604:215:1,301,-1.02546203136444,0.89776200056076,33.7323226928711,34.6101455688477,1.93200004287064,0.311504989862442,259.971252441406,82
Globicephala,melas,-60.75,111.75,3611:101:4,4248,-0.0675460025668144,-0.107661999762058,33.8420333862305,34.6729736328125,2.3089998867362698,0.041558001190424,234.670913696289,583
Globicephala,melas,-60.75,-40.75,5604:100:4,3655,-1.01272094249725,-0.569909989833832,33.8472557067871,34.6423225402832,1.9700000993907498,0.301835000514984,261.236541748047,217
Globicephala,melas,-60.75,-55.25,5605:205:3,2184,-0.303965002298355,0.111844003200531,33.8638534545898,34.6607933044434,4.72899992018938,0.0412099994719028,242.94059753418,83
