Mapping parameters for Orcinus orca (killer whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 2396)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Orcinus,orca,-78.75,-166.25,5716:486:3,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76
Orcinus,orca,-78.75,-170.75,5717:380:4,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,169
Orcinus,orca,-78.25,174.75,3717:384:2,364,-9999,-9999,-9999,-9999,-9999,-9999,-9999,161
Orcinus,orca,-77.75,165.75,3716:475:4,503,-1.67693197727203,-1.7143919467926,34.2992134094238,34.8564147949219,4.45199990645051,0.376778990030289,313.5673828125,6
Orcinus,orca,-77.75,166.25,3716:476:3,391,-1.68705904483795,-1.63922500610352,34.3017311096191,34.8337516784668,4.35800012201071,0.383971005678177,314.300201416016,5
Orcinus,orca,-77.25,165.25,3716:475:1,655,-1.62242603302002,-1.72431802749634,34.2946815490723,34.8643188476563,4.57100011408329,0.361102998256683,313.515716552734,37
Orcinus,orca,-77.25,166.25,3716:476:1,686,-1.61349701881409,-1.71377098560333,34.3017349243164,34.8481864929199,4.35899989679456,0.393772006034851,313.445068359375,6
Orcinus,orca,-77.25,169.75,3716:479:2,588,-1.59739100933075,-1.72599101066589,34.3490180969238,34.8381118774414,3.80500010214746,0.363707989454269,312.048492431641,37
Orcinus,orca,-77.25,173.25,3717:373:1,604,-1.61030900478363,-1.53358602523804,34.2938499450684,34.7938690185547,3.61000001430511,0.255483001470566,311.116241455078,123
Orcinus,orca,-76.75,166.75,3716:466:4,758,-1.61323595046997,-1.71616303920746,34.3022575378418,34.8438186645508,3.40400007553399,0.57695198059082,312.788635253906,68
Orcinus,orca,-76.25,165.75,3716:465:2,670,-1.66890597343445,-1.70373797416687,34.1976280212402,34.840217590332,2.08200002089143,0.679049015045166,314.230529785156,111
Orcinus,orca,-74.75,-167.75,5716:247:4,3446,-1.69430005550385,0.36192798614502,33.9586715698242,34.6921539306641,1.64399994537234,0.788339972496033,237.199249267578,391
Orcinus,orca,-74.25,171.25,3717:141:1,512,-1.54003894329071,-1.37867999076843,34.1910591125488,34.7951965332031,1.61999999545515,0.680031001567841,311.077972412109,160
Orcinus,orca,-74.25,-130.75,5713:140:2,52,-1.67557799816132,1.37761795520782,33.3192901611328,34.6673126220703,2.64599989168346,0.52490097284317,243.757843017578,7
Orcinus,orca,-73.75,171.25,3717:131:3,372,-1.6125500202179,-1.38729894161224,34.1142501831055,34.8798713684082,2.08000000566244,0.693542003631592,311.957366943359,125
Orcinus,orca,-73.75,172.75,3717:132:4,470,-1.52653896808624,-0.809741020202637,34.1481285095215,34.7294311523438,1.47999997716397,0.650327026844025,299.919921875,168
