Mapping parameters for Stenella coeruleoalba (striped dolphin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 2994)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Stenella,coeruleoalba,-42.25,178.75,3417:228:2,2308,15.2601881027222,1.87641704082489,35.2651901245117,34.7077713012695,9.723000228405,0,160.329849243164,277
Stenella,coeruleoalba,-42.25,-62.25,5406:122:1,63,13.6659708023071,12.455135345459,34.8855590820313,33.6223983764648,2.86099989898503,0,279.233734130859,160
Stenella,coeruleoalba,-41.75,-73.25,5407:113:3,84,11.8154907226563,11.7573509216309,27.1420516967773,33.2585105895996,25.3759995102882,0,275.142272949219,13
Stenella,coeruleoalba,-41.25,-55.25,5405:215:1,4310,11.681209564209,0.0203549992293119,34.1267623901367,34.6713943481445,9.10199992358685,0,220.345336914063,427
Stenella,coeruleoalba,-40.75,173.75,3417:103:4,47,14.8862257003784,14.1851530075073,35.0137710571289,35.1517219543457,24.9119997024536,0,230.725280761719,21
Stenella,coeruleoalba,-40.25,-62.25,5406:102:1,7,14.6385154724121,14.6113882064819,32.7054214477539,33.6728134155273,6.62400014698505,0,257.153991699219,14
Stenella,coeruleoalba,-39.25,-55.75,5305:495:2,217,11.3342771530151,4.69404077529907,34.031436920166,34.1520042419434,10.8150001615286,0,295.099822998047,249
Stenella,coeruleoalba,-39.25,-58.25,5305:498:1,51,14.1838111877441,10.0457038879395,34.1168823242188,33.5619163513184,19.3259995430708,0,259.815582275391,98
Stenella,coeruleoalba,-38.75,-57.75,5305:487:4,62,14.6992778778076,10.7870721817017,33.6796188354492,33.5559349060059,16.9029999524355,0,260.040985107422,82
Stenella,coeruleoalba,-38.25,142.25,3314:382:1,20,15.7873487472534,15.4690170288086,35.6145057678223,35.4404640197754,14.884523116052199,0,249.585342407227,7
Stenella,coeruleoalba,-37.75,148.75,3314:478:4,40,16.2625026702881,16.7219867706299,35.5910606384277,35.5462684631348,17.276000231504398,0,245.194839477539,11
Stenella,coeruleoalba,-37.75,149.75,3314:479:4,95,17.209846496582,15.9171772003174,35.5759162902832,35.4998474121094,18.518000841140697,0,221.954391479492,18
Stenella,coeruleoalba,-37.75,-57.75,5305:477:4,17,15.5189456939697,14.9270334243774,29.3838768005371,32.9894866943359,18.0728603154421,0,267.921966552734,0
Stenella,coeruleoalba,-37.25,21.25,3302:371:1,3832,21.060266494751,0.815436005592346,35.467845916748,34.7631301879883,11.0499998554587,0,219.49626159668,336
Stenella,coeruleoalba,-37.25,-56.75,5305:476:2,11,15.6758136749268,14.8904047012329,28.0504417419434,33.5366668701172,30.629999935627,0,270.962554931641,20
